,BH105,BH106,BH101,BH103,count,sedentary
135,1,3,0,1,1,FALSE
136,1,3,0,4,1,FALSE
137,1,3,1,1,2,FALSE
138,1,3,2,0,1,FALSE
139,1,3,3,2,1,FALSE
140,1,3,3,7,1,FALSE
141,1,3,6,0,1,FALSE
142,1,3,7,0,1,FALSE
143,1,3,7,6,1,FALSE
144,1,3,7,7,1,FALSE
145,1,4,0,0,2,FALSE
146,1,4,0,5,1,FALSE
147,1,4,1,1,1,FALSE
148,1,4,2,7,1,FALSE
149,1,4,3,0,1,FALSE
150,1,4,7,2,1,FALSE
151,1,5,0,3,1,FALSE
152,2,0,0,0,153,FALSE
153,2,0,0,1,13,FALSE
154,2,0,0,2,21,FALSE
155,2,0,0,3,8,FALSE
156,2,0,0,4,2,FALSE
157,2,0,0,5,13,FALSE
158,2,0,0,7,20,FALSE
159,2,0,1,0,6,FALSE
160,2,0,1,1,1,FALSE
161,2,0,1,2,1,FALSE
162,2,0,1,3,2,FALSE
163,2,0,1,4,2,FALSE
164,2,0,1,7,3,FALSE
165,2,0,2,0,12,FALSE
166,2,0,2,1,2,FALSE
167,2,0,2,2,2,FALSE
168,2,0,2,5,1,FALSE
169,2,0,2,7,3,FALSE
170,2,0,3,0,2,FALSE
171,2,0,3,1,2,FALSE
172,2,0,3,2,6,FALSE
173,2,0,3,7,3,FALSE
174,2,0,4,0,1,FALSE
175,2,0,4,1,2,FALSE
176,2,0,4,2,1,FALSE
177,2,0,4,3,1,FALSE
178,2,0,4,4,1,FALSE
179,2,0,4,7,1,FALSE
180,2,0,5,1,1,FALSE
181,2,0,5,2,3,FALSE
182,2,0,5,5,1,FALSE
183,2,0,5,7,1,FALSE
184,2,0,6,0,1,FALSE
185,2,0,6,6,1,FALSE
186,2,0,6,7,1,FALSE
187,2,0,7,0,1,FALSE
188,2,0,7,7,3,FALSE
189,2,0,NA,2,1,FALSE
190,2,0,NA,7,1,FALSE
191,2,1,0,0,39,FALSE
192,2,1,0,1,6,FALSE
193,2,1,0,2,10,FALSE
194,2,1,0,3,5,FALSE
195,2,1,0,4,5,FALSE
196,2,1,0,5,3,FALSE
197,2,1,0,6,1,FALSE
198,2,1,0,7,10,FALSE
199,2,1,1,0,3,FALSE
200,2,1,1,1,1,FALSE
201,2,1,1,2,1,FALSE
202,2,1,1,3,2,FALSE
203,2,1,1,4,1,FALSE
204,2,1,1,7,2,FALSE
205,2,1,1,NA,1,FALSE
206,2,1,2,0,3,FALSE
207,2,1,2,2,3,FALSE
208,2,1,2,5,1,FALSE
209,2,1,2,7,1,FALSE
210,2,1,3,0,1,FALSE
211,2,1,3,2,2,FALSE
212,2,1,3,3,3,FALSE
213,2,1,3,5,1,FALSE
214,2,1,3,7,3,FALSE
215,2,1,4,0,1,FALSE
216,2,1,4,2,1,FALSE
217,2,1,4,4,1,FALSE
218,2,1,4,5,3,FALSE
219,2,1,5,0,1,FALSE
220,2,1,5,5,1,FALSE
221,2,1,6,4,1,FALSE
222,2,1,7,0,2,FALSE
223,2,1,7,1,1,FALSE
224,2,1,7,7,3,FALSE
225,2,2,0,0,21,FALSE
226,2,2,0,3,3,FALSE
227,2,2,0,5,1,FALSE
228,2,2,0,6,1,FALSE
229,2,2,0,7,5,FALSE
230,2,2,0,NA,1,FALSE
231,2,2,1,0,1,FALSE
232,2,2,1,1,1,FALSE
233,2,2,1,2,1,FALSE
234,2,2,1,7,1,FALSE
235,2,2,2,1,1,FALSE
236,2,2,2,2,2,FALSE
237,2,2,2,5,1,FALSE
238,2,2,3,7,2,FALSE
239,2,2,4,4,1,FALSE
240,2,2,5,0,1,FALSE
241,2,2,5,5,1,FALSE
242,2,2,5,7,1,FALSE
243,2,2,7,1,1,FALSE
244,2,3,0,0,3,FALSE
245,2,3,0,1,1,FALSE
246,2,3,0,2,2,FALSE
247,2,3,0,7,1,FALSE
248,2,3,1,7,2,FALSE
249,2,3,2,2,1,FALSE
250,2,3,4,5,1,FALSE
251,2,4,0,0,7,FALSE
252,2,4,0,2,1,FALSE
253,2,4,0,5,1,FALSE
254,2,4,0,6,1,FALSE
255,2,4,1,0,1,FALSE
256,2,4,2,0,1,FALSE
257,2,4,2,2,1,FALSE
258,2,4,2,3,1,FALSE
259,2,4,5,0,1,FALSE
260,2,5,0,0,1,FALSE
261,2,5,3,0,1,FALSE
262,2,NA,0,2,1,FALSE
263,3,0,0,0,190,FALSE
264,3,0,0,1,16,FALSE
265,3,0,0,2,14,FALSE
266,3,0,0,3,31,FALSE
267,3,0,0,4,10,FALSE
268,3,0,0,5,8,FALSE
269,3,0,0,6,3,FALSE
270,3,0,0,7,30,FALSE
271,3,0,1,0,8,FALSE
272,3,0,1,1,3,FALSE
273,3,0,1,2,3,FALSE
274,3,0,1,3,3,FALSE
275,3,0,1,4,1,FALSE
276,3,0,1,5,2,FALSE
277,3,0,1,7,1,FALSE
278,3,0,2,0,6,FALSE
279,3,0,2,2,3,FALSE
280,3,0,2,3,3,FALSE
281,3,0,2,4,1,FALSE
282,3,0,2,5,1,FALSE
283,3,0,2,7,1,FALSE
284,3,0,3,0,6,FALSE
285,3,0,3,1,1,FALSE
286,3,0,3,3,5,FALSE
287,3,0,3,4,2,FALSE
288,3,0,3,5,2,FALSE
289,3,0,3,6,1,FALSE
290,3,0,3,7,3,FALSE
291,3,0,4,0,1,FALSE
292,3,0,4,2,2,FALSE
293,3,0,4,3,1,FALSE
294,3,0,4,5,1,FALSE
295,3,0,5,0,2,FALSE
296,3,0,5,4,1,FALSE
297,3,0,5,5,3,FALSE
298,3,0,5,7,2,FALSE
299,3,0,7,2,1,FALSE
300,3,0,7,7,4,FALSE
301,3,1,0,0,81,FALSE
302,3,1,0,1,13,FALSE
303,3,1,0,2,13,FALSE
304,3,1,0,3,15,FALSE
305,3,1,0,4,9,FALSE
306,3,1,0,5,6,FALSE
307,3,1,0,6,3,FALSE
308,3,1,0,7,11,FALSE
309,3,1,1,0,5,FALSE
310,3,1,1,1,2,FALSE
311,3,1,1,2,3,FALSE
312,3,1,1,3,2,FALSE
313,3,1,1,6,1,FALSE
314,3,1,2,0,3,FALSE
315,3,1,2,1,2,FALSE
316,3,1,2,2,3,FALSE
317,3,1,2,3,2,FALSE
318,3,1,2,4,1,FALSE
319,3,1,2,5,1,FALSE
320,3,1,2,7,1,FALSE
321,3,1,3,0,7,FALSE
322,3,1,3,1,1,FALSE
323,3,1,3,2,3,FALSE
324,3,1,3,3,2,FALSE
325,3,1,3,5,1,FALSE
326,3,1,3,7,2,FALSE
327,3,1,4,0,2,FALSE
328,3,1,4,2,1,FALSE
329,3,1,4,3,1,FALSE
330,3,1,4,4,2,FALSE
331,3,1,4,5,1,FALSE
332,3,1,4,6,2,FALSE
333,3,1,4,7,1,FALSE
334,3,1,5,0,1,FALSE
335,3,1,5,3,1,FALSE
336,3,1,5,4,3,FALSE
337,3,1,5,7,1,FALSE
338,3,1,6,0,2,FALSE
339,3,1,6,6,2,FALSE
340,3,1,6,7,1,FALSE
341,3,1,7,7,2,FALSE
342,3,2,0,0,17,FALSE
343,3,2,0,2,2,FALSE
344,3,2,0,4,2,FALSE
345,3,2,0,5,1,FALSE
346,3,2,1,0,1,FALSE
347,3,2,2,0,2,FALSE
348,3,2,2,2,2,FALSE
349,3,2,3,4,1,FALSE
350,3,2,4,5,1,FALSE
351,3,2,5,5,1,FALSE
352,3,2,7,3,2,FALSE
353,3,2,7,7,1,FALSE
354,3,3,0,0,4,FALSE
355,3,3,0,1,1,FALSE
356,3,3,0,2,1,FALSE
357,3,3,0,3,1,FALSE
358,3,3,0,4,1,FALSE
359,3,3,0,7,10,FALSE
360,3,3,2,2,1,FALSE
361,3,3,2,4,1,FALSE
362,3,3,3,2,1,FALSE
363,3,3,7,7,2,FALSE
364,3,4,0,0,6,FALSE
365,3,4,0,1,1,FALSE
366,3,4,0,2,1,FALSE
367,3,4,1,7,1,FALSE
368,3,4,6,0,1,FALSE
369,3,4,7,3,1,FALSE
370,3,4,7,7,1,FALSE
371,3,5,0,0,1,FALSE
372,3,5,0,3,1,FALSE
373,3,5,2,0,1,FALSE
374,3,5,4,0,1,FALSE
375,3,5,5,1,1,FALSE
376,3,NA,0,0,3,FALSE
377,4,0,0,0,152,FALSE
378,4,0,0,1,12,FALSE
379,4,0,0,2,14,FALSE
380,4,0,0,3,13,FALSE
381,4,0,0,4,11,FALSE
382,4,0,0,5,16,FALSE
383,4,0,0,6,4,FALSE
384,4,0,0,7,13,FALSE
385,4,0,1,0,10,FALSE
386,4,0,1,2,1,FALSE
387,4,0,1,4,2,FALSE
388,4,0,1,5,1,FALSE
389,4,0,1,7,1,FALSE
390,4,0,2,0,6,FALSE
391,4,0,2,1,2,FALSE
392,4,0,2,2,2,FALSE
393,4,0,2,4,1,FALSE
394,4,0,2,5,1,FALSE
395,4,0,2,7,2,FALSE
396,4,0,3,0,5,FALSE
397,4,0,3,1,2,FALSE
398,4,0,3,2,2,FALSE
399,4,0,3,3,4,FALSE
400,4,0,3,4,1,FALSE
401,4,0,3,6,1,FALSE
402,4,0,3,7,1,FALSE
403,4,0,4,0,4,FALSE
404,4,0,4,1,1,FALSE
405,4,0,4,2,1,FALSE
406,4,0,4,3,2,FALSE
407,4,0,4,5,1,FALSE
408,4,0,4,6,2,FALSE
409,4,0,4,7,1,FALSE
410,4,0,5,0,2,FALSE
411,4,0,5,1,1,FALSE
412,4,0,5,2,1,FALSE
413,4,0,5,5,2,FALSE
414,4,0,5,7,1,FALSE
415,4,0,6,2,1,FALSE
416,4,0,7,3,1,FALSE
417,4,0,7,7,2,FALSE
418,4,1,0,0,84,FALSE
419,4,1,0,1,9,FALSE
420,4,1,0,2,4,FALSE
421,4,1,0,3,4,FALSE
422,4,1,0,4,9,FALSE
423,4,1,0,5,8,FALSE
424,4,1,0,6,1,FALSE
425,4,1,0,7,15,FALSE
426,4,1,1,0,2,FALSE
427,4,1,1,1,1,FALSE
428,4,1,1,2,2,FALSE
429,4,1,1,3,1,FALSE
430,4,1,1,4,3,FALSE
431,4,1,1,5,2,FALSE
432,4,1,2,2,2,FALSE
433,4,1,2,3,2,FALSE
434,4,1,2,5,1,FALSE
435,4,1,3,0,4,FALSE
436,4,1,3,1,1,FALSE
437,4,1,3,2,3,FALSE
438,4,1,3,3,2,FALSE
439,4,1,3,4,1,FALSE
440,4,1,3,5,1,FALSE
441,4,1,3,7,1,FALSE
442,4,1,4,2,2,FALSE
443,4,1,4,6,1,FALSE
444,4,1,4,7,1,FALSE
445,4,1,5,2,1,FALSE
446,4,1,5,5,1,FALSE
447,4,1,5,7,2,FALSE
448,4,1,6,7,1,FALSE
449,4,1,7,0,3,FALSE
450,4,1,7,4,1,FALSE
451,4,1,7,7,4,FALSE
452,4,2,0,0,11,FALSE
453,4,2,0,1,3,FALSE
454,4,2,0,2,1,FALSE
455,4,2,0,3,5,FALSE
456,4,2,0,4,1,FALSE
457,4,2,0,5,2,FALSE
458,4,2,0,7,2,FALSE
459,4,2,1,1,1,FALSE
460,4,2,2,2,1,FALSE
461,4,2,2,3,1,FALSE
462,4,2,2,6,1,FALSE
463,4,2,3,5,1,FALSE
464,4,2,4,3,1,FALSE
465,4,2,4,4,2,FALSE
466,4,2,4,7,1,FALSE
467,4,2,5,0,1,FALSE
468,4,2,5,5,1,FALSE
469,4,2,7,7,1,FALSE
470,4,3,0,0,8,FALSE
471,4,3,0,2,2,FALSE
472,4,3,0,7,1,FALSE
473,4,3,1,0,1,FALSE
474,4,3,1,1,1,FALSE
475,4,3,4,0,1,FALSE
476,4,4,0,0,5,FALSE
477,4,4,0,2,1,FALSE
478,4,4,0,3,1,FALSE
479,4,4,0,4,2,FALSE
480,4,4,0,7,3,FALSE
481,4,4,1,0,1,FALSE
482,4,4,1,5,1,FALSE
483,4,4,2,0,1,FALSE
484,4,4,3,1,1,FALSE
485,4,4,4,0,1,FALSE
486,4,4,5,3,2,FALSE
487,4,5,0,0,2,FALSE
488,4,5,0,3,1,FALSE
489,4,5,0,4,1,FALSE
490,5,0,0,0,196,FALSE
491,5,0,0,1,13,FALSE
492,5,0,0,2,25,FALSE
493,5,0,0,3,10,FALSE
494,5,0,0,4,6,FALSE
495,5,0,0,5,17,FALSE
496,5,0,0,6,4,FALSE
497,5,0,0,7,27,FALSE
498,5,0,1,0,8,FALSE
499,5,0,1,1,2,FALSE
500,5,0,1,2,6,FALSE
501,5,0,1,3,1,FALSE
502,5,0,1,7,4,FALSE
503,5,0,2,0,5,FALSE
504,5,0,2,2,3,FALSE
505,5,0,2,3,3,FALSE
506,5,0,2,4,2,FALSE
507,5,0,2,5,2,FALSE
508,5,0,2,7,4,FALSE
509,5,0,3,0,5,FALSE
510,5,0,3,2,2,FALSE
511,5,0,3,3,3,FALSE
512,5,0,3,5,1,FALSE
513,5,0,3,7,1,FALSE
514,5,0,4,0,3,FALSE
515,5,0,4,1,1,FALSE
516,5,0,4,2,1,FALSE
517,5,0,4,4,1,FALSE
518,5,0,4,5,4,FALSE
519,5,0,5,0,4,FALSE
520,5,0,5,1,1,FALSE
521,5,0,5,2,1,FALSE
522,5,0,5,5,2,FALSE
523,5,0,5,6,1,FALSE
524,5,0,6,2,1,FALSE
525,5,0,6,4,1,FALSE
526,5,0,6,7,2,FALSE
527,5,0,7,0,1,FALSE
528,5,0,7,7,2,FALSE
529,5,0,NA,NA,1,FALSE
530,5,1,0,0,116,FALSE
531,5,1,0,1,16,FALSE
532,5,1,0,2,7,FALSE
533,5,1,0,3,11,FALSE
534,5,1,0,4,7,FALSE
535,5,1,0,5,12,FALSE
536,5,1,0,6,4,FALSE
537,5,1,0,7,19,FALSE
538,5,1,1,0,7,FALSE
539,5,1,1,1,2,FALSE
540,5,1,1,2,2,FALSE
541,5,1,1,3,2,FALSE
542,5,1,1,4,1,FALSE
543,5,1,1,5,2,FALSE
544,5,1,1,7,1,FALSE
545,5,1,2,0,7,FALSE
546,5,1,2,1,3,FALSE
547,5,1,2,2,1,FALSE
548,5,1,2,3,2,FALSE
549,5,1,2,5,1,FALSE
550,5,1,2,7,2,FALSE
551,5,1,3,0,1,FALSE
552,5,1,3,1,2,FALSE
553,5,1,3,2,2,FALSE
554,5,1,3,3,1,FALSE
555,5,1,3,5,1,FALSE
556,5,1,3,7,3,FALSE
557,5,1,4,0,2,FALSE
558,5,1,4,2,1,FALSE
559,5,1,4,5,2,FALSE
560,5,1,4,7,1,FALSE
561,5,1,5,0,3,FALSE
562,5,1,5,2,2,FALSE
563,5,1,5,5,3,FALSE
564,5,1,6,0,1,FALSE
565,5,1,6,6,1,FALSE
566,5,1,6,7,2,FALSE
567,5,1,7,5,1,FALSE
568,5,1,7,7,2,FALSE
569,5,1,NA,7,1,FALSE
570,5,2,0,0,11,FALSE
571,5,2,0,1,2,FALSE
572,5,2,0,3,4,FALSE
573,5,2,0,5,5,FALSE
574,5,2,0,7,4,FALSE
575,5,2,1,0,1,FALSE
576,5,2,1,4,1,FALSE
577,5,2,1,7,1,FALSE
578,5,2,2,6,1,FALSE
579,5,2,3,0,1,FALSE
580,5,2,3,2,1,FALSE
581,5,2,3,5,1,FALSE
582,5,2,4,0,1,FALSE
583,5,2,4,5,1,FALSE
584,5,2,5,5,3,FALSE
585,5,2,5,7,1,FALSE
586,5,2,7,7,1,FALSE
587,5,3,0,0,6,FALSE
588,5,3,0,1,1,FALSE
589,5,3,0,3,1,FALSE
590,5,3,0,6,1,FALSE
591,5,3,0,7,3,FALSE
592,5,3,1,2,2,FALSE
593,5,3,2,3,1,FALSE
594,5,3,2,5,1,FALSE
595,5,3,2,7,1,FALSE
596,5,3,3,3,1,FALSE
597,5,3,4,4,1,FALSE
598,5,3,5,0,4,FALSE
599,5,3,5,6,1,FALSE
600,5,3,7,7,1,FALSE
601,5,4,0,0,6,FALSE
602,5,4,0,2,1,FALSE
603,5,4,0,3,1,FALSE
604,5,4,0,4,2,FALSE
605,5,4,0,5,1,FALSE
606,5,4,0,7,1,FALSE
607,5,4,1,7,1,FALSE
608,5,4,3,0,1,FALSE
609,5,4,5,3,1,FALSE
610,5,4,5,4,1,FALSE
611,5,4,5,5,1,FALSE
612,5,4,5,6,1,FALSE
613,5,4,6,6,1,FALSE
614,5,4,7,6,1,FALSE
615,5,5,0,0,8,FALSE
616,5,5,0,3,1,FALSE
617,5,5,0,4,1,FALSE
618,5,5,0,5,1,FALSE
619,5,5,0,7,4,FALSE
620,5,5,1,0,2,FALSE
621,5,5,1,1,1,FALSE
622,5,5,3,1,1,FALSE
623,5,5,4,0,1,FALSE
624,5,5,5,0,1,FALSE
625,5,5,5,2,1,FALSE
626,5,5,5,5,1,FALSE
627,5,5,7,0,1,FALSE
628,5,NA,0,0,2,FALSE
629,5,NA,6,7,1,FALSE
630,6,0,0,0,69,FALSE
631,6,0,0,1,4,FALSE
632,6,0,0,2,3,FALSE
633,6,0,0,3,5,FALSE
634,6,0,0,4,6,FALSE
635,6,0,0,5,7,FALSE
636,6,0,0,6,2,FALSE
637,6,0,0,7,10,FALSE
638,6,0,1,0,4,FALSE
639,6,0,1,1,3,FALSE
640,6,0,1,2,2,FALSE
641,6,0,2,0,1,FALSE
642,6,0,2,2,1,FALSE
643,6,0,2,3,1,FALSE
644,6,0,2,4,1,FALSE
645,6,0,3,0,1,FALSE
646,6,0,3,3,2,FALSE
647,6,0,3,4,1,FALSE
648,6,0,3,5,1,FALSE
649,6,0,4,4,2,FALSE
650,6,0,4,5,1,FALSE
651,6,0,4,6,1,FALSE
652,6,0,5,0,1,FALSE
653,6,0,5,1,1,FALSE
654,6,0,5,5,2,FALSE
655,6,0,6,6,3,FALSE
656,6,0,7,5,1,FALSE
657,6,0,7,7,1,FALSE
658,6,1,0,0,70,FALSE
659,6,1,0,1,2,FALSE
660,6,1,0,2,5,FALSE
661,6,1,0,3,6,FALSE
662,6,1,0,4,3,FALSE
663,6,1,0,5,5,FALSE
664,6,1,0,6,9,FALSE
665,6,1,0,7,6,FALSE
666,6,1,1,0,3,FALSE
667,6,1,1,1,2,FALSE
668,6,1,1,2,2,FALSE
669,6,1,1,3,1,FALSE
670,6,1,2,3,1,FALSE
671,6,1,2,5,2,FALSE
672,6,1,2,7,1,FALSE
673,6,1,3,0,3,FALSE
674,6,1,4,3,1,FALSE
675,6,1,4,4,1,FALSE
676,6,1,4,7,1,FALSE
677,6,1,5,0,2,FALSE
678,6,1,5,3,1,FALSE
679,6,1,5,5,1,FALSE
680,6,1,5,6,2,FALSE
681,6,1,5,7,1,FALSE
682,6,1,6,0,1,FALSE
683,6,1,6,3,1,FALSE
684,6,1,6,6,3,FALSE
685,6,1,7,7,1,FALSE
686,6,2,0,0,7,FALSE
687,6,2,0,1,1,FALSE
688,6,2,0,2,1,FALSE
689,6,2,0,3,3,FALSE
690,6,2,0,4,2,FALSE
691,6,2,0,5,4,FALSE
692,6,2,0,6,2,FALSE
693,6,2,1,4,1,FALSE
694,6,2,5,4,1,FALSE
695,6,2,6,1,1,FALSE
696,6,2,6,3,1,FALSE
697,6,2,7,1,1,FALSE
698,6,2,7,5,1,FALSE
699,6,2,7,6,1,FALSE
700,6,3,0,0,4,FALSE
701,6,3,0,3,1,FALSE
702,6,3,0,4,1,FALSE
703,6,3,0,7,1,FALSE
704,6,3,2,4,1,FALSE
705,6,4,0,0,2,FALSE
706,6,4,0,1,1,FALSE
707,6,4,0,5,2,FALSE
708,6,4,0,6,1,FALSE
709,6,4,0,7,1,FALSE
710,6,4,2,0,1,FALSE
711,6,4,2,6,1,FALSE
712,6,4,2,7,1,FALSE
713,6,4,5,5,1,FALSE
714,6,5,0,0,1,FALSE
715,6,5,0,5,2,FALSE
716,6,5,0,7,2,FALSE
717,6,5,5,2,1,FALSE
718,6,5,5,4,1,FALSE
719,6,NA,0,0,1,FALSE
720,7,0,0,0,710,FALSE
721,7,0,0,1,37,FALSE
722,7,0,0,2,58,FALSE
723,7,0,0,3,62,FALSE
724,7,0,0,4,39,FALSE
725,7,0,0,5,40,FALSE
726,7,0,0,6,17,FALSE
727,7,0,0,7,187,FALSE
728,7,0,0,NA,1,FALSE
729,7,0,1,0,28,FALSE
730,7,0,1,1,5,FALSE
731,7,0,1,2,7,FALSE
732,7,0,1,3,10,FALSE
733,7,0,1,4,3,FALSE
734,7,0,1,5,5,FALSE
735,7,0,1,7,12,FALSE
736,7,0,2,0,13,FALSE
737,7,0,2,1,6,FALSE
738,7,0,2,2,14,FALSE
739,7,0,2,3,5,FALSE
740,7,0,2,4,3,FALSE
741,7,0,2,5,5,FALSE
742,7,0,2,7,12,FALSE
743,7,0,3,0,14,FALSE
744,7,0,3,1,7,FALSE
745,7,0,3,2,5,FALSE
746,7,0,3,3,6,FALSE
747,7,0,3,4,6,FALSE
748,7,0,3,5,1,FALSE
749,7,0,3,6,1,FALSE
750,7,0,3,7,11,FALSE
751,7,0,4,0,5,FALSE
752,7,0,4,3,3,FALSE
753,7,0,4,4,6,FALSE
754,7,0,4,5,4,FALSE
755,7,0,4,6,1,FALSE
756,7,0,4,7,9,FALSE
757,7,0,4,NA,1,FALSE
758,7,0,5,0,16,FALSE
759,7,0,5,1,1,FALSE
760,7,0,5,2,6,FALSE
761,7,0,5,3,2,FALSE
762,7,0,5,4,2,FALSE
763,7,0,5,5,9,FALSE
764,7,0,5,6,1,FALSE
765,7,0,5,7,13,FALSE
766,7,0,5,NA,1,FALSE
767,7,0,6,0,5,FALSE
768,7,0,6,4,1,FALSE
769,7,0,6,5,1,FALSE
770,7,0,6,6,1,FALSE
771,7,0,6,7,1,FALSE
772,7,0,7,0,9,FALSE
773,7,0,7,1,4,FALSE
774,7,0,7,2,3,FALSE
775,7,0,7,3,6,FALSE
776,7,0,7,4,1,FALSE
777,7,0,7,5,5,FALSE
778,7,0,7,7,34,FALSE
779,7,0,NA,2,1,FALSE
780,7,1,0,0,522,FALSE
781,7,1,0,1,30,FALSE
782,7,1,0,2,58,FALSE
783,7,1,0,3,46,FALSE
784,7,1,0,4,34,FALSE
785,7,1,0,5,47,FALSE
786,7,1,0,6,24,FALSE
787,7,1,0,7,214,FALSE
788,7,1,1,0,19,FALSE
789,7,1,1,1,11,FALSE
790,7,1,1,2,11,FALSE
791,7,1,1,3,4,FALSE
792,7,1,1,4,7,FALSE
793,7,1,1,5,2,FALSE
794,7,1,1,6,1,FALSE
795,7,1,1,7,18,FALSE
796,7,1,1,NA,1,FALSE
797,7,1,2,0,26,FALSE
798,7,1,2,1,4,FALSE
799,7,1,2,2,12,FALSE
800,7,1,2,3,8,FALSE
801,7,1,2,4,2,FALSE
802,7,1,2,5,4,FALSE
803,7,1,2,6,2,FALSE
804,7,1,2,7,17,FALSE
805,7,1,3,0,17,FALSE
806,7,1,3,1,3,FALSE
807,7,1,3,2,6,FALSE
808,7,1,3,3,7,FALSE
809,7,1,3,4,3,FALSE
810,7,1,3,5,7,FALSE
811,7,1,3,6,6,FALSE
812,7,1,3,7,15,FALSE
813,7,1,4,0,10,FALSE
814,7,1,4,1,1,FALSE
815,7,1,4,2,1,FALSE
816,7,1,4,3,6,FALSE
